Регистрационный номер,Наименование НИОКР,Организация,Год начала,Год окончания,Тип работы,Направление,Стоимость
NIOKR-000506,Исследование в области 'Робототехника' №506,КФУ,2019,2020,ОКР,Робототехника,53497139
NIOKR-000507,Исследование в области 'Ядерные технологии' №507,НИУ ВШЭ,2022,2025,НИР,Ядерные технологии,65796438
NIOKR-000508,Исследование в области 'Микроэлектроника' №508,НИЯУ МИФИ,2016,2018,НИР,Микроэлектроника,98999171
NIOKR-000509,Исследование в области 'Новые материалы' №509,НИУ ВШЭ,2017,2019,ОКР,Новые материалы,28765262
NIOKR-000510,Исследование в области 'Биотехнологии' №510,КФУ,2023,2025,НИР,Биотехнологии,59809636
NIOKR-000511,Исследование в области 'Искусственный интеллект' №511,ИТМО,2022,2024,НИР,Искусственный интеллект,96399141
NIOKR-000512,Исследование в области 'Биотехнологии' №512,НИЯУ МИФИ,2016,2017,Технологическая работа,Биотехнологии,23059232
NIOKR-000513,Исследование в области 'Ядерные технологии' №513,УрФУ,2018,2021,НИР,Ядерные технологии,45424679
NIOKR-000514,Исследование в области 'Квантовые технологии' №514,СПбГУ,2023,2025,ОКР,Квантовые технологии,85524999
NIOKR-000515,Исследование в области 'Микроэлектроника' №515,Томский политехнический университет,2017,2018,НИР,Микроэлектроника,99970591
NIOKR-000516,Исследование в области 'Квантовые технологии' №516,Сколтех,2024,2025,ОКР,Квантовые технологии,53188655
NIOKR-000517,Исследование в области 'Робототехника' №517,СПбГУ,2015,2018,ОКР,Робототехника,95457033
NIOKR-000518,Исследование в области 'Искусственный интеллект' №518,УрФУ,2016,2019,НИР,Искусственный интеллект,50095909
NIOKR-000519,Исследование в области 'Квантовые технологии' №519,НИЯУ МИФИ,2020,2021,ОКР,Квантовые технологии,91020021
NIOKR-000520,Исследование в области 'Биотехнологии' №520,Сколтех,2022,2025,ОКР,Биотехнологии,83048427
NIOKR-000521,Исследование в области 'Искусственный интеллект' №521,НИУ ВШЭ,2021,2024,ОКР,Искусственный интеллект,62453007
NIOKR-000522,Исследование в области 'Новые материалы' №522,Сколтех,2024,2025,Технологическая работа,Новые материалы,12375216
NIOKR-000523,Исследование в области 'Искусственный интеллект' №523,СПбГУ,2017,2019,ОКР,Искусственный интеллект,16696616
NIOKR-000524,Исследование в области 'Ядерные технологии' №524,УрФУ,2017,2019,ОКР,Ядерные технологии,57135102
NIOKR-000525,Исследование в области 'Микроэлектроника' №525,Томский политехнический университет,2024,2025,НИР,Микроэлектроника,66319770
NIOKR-000526,Исследование в области 'Ядерные технологии' №526,УрФУ,2023,2026,НИР,Ядерные технологии,66718640
NIOKR-000527,Исследование в области 'Ядерные технологии' №527,НИУ ВШЭ,2019,2020,ОКР,Ядерные технологии,84135800
NIOKR-000528,Исследование в области 'Информационные технологии' №528,КФУ,2015,2017,НИР,Информационные технологии,27189702
NIOKR-000529,Исследование в области 'Квантовые технологии' №529,Томский политехнический университет,2021,2024,Технологическая работа,Квантовые технологии,66998330
NIOKR-000530,Исследование в области 'Квантовые технологии' №530,КФУ,2021,2024,НИР,Квантовые технологии,12095863
NIOKR-000531,Исследование в области 'Робототехника' №531,ИТМО,2024,2025,НИР,Робототехника,37890134
NIOKR-000532,Исследование в области 'Новые материалы' №532,МФТИ,2018,2021,ОКР,Новые материалы,76920319
NIOKR-000533,Исследование в области 'Искусственный интеллект' №533,Сколтех,2022,2025,НИР,Искусственный интеллект,36955440
NIOKR-000534,Исследование в области 'Информационные технологии' №534,КФУ,2023,2025,Технологическая работа,Информационные технологии,30332201
NIOKR-000535,Исследование в области 'Робототехника' №535,ИТМО,2021,2022,НИР,Робототехника,61362053
NIOKR-000536,Исследование в области 'Искусственный интеллект' №536,КФУ,2019,2021,НИР,Искусственный интеллект,32802361
NIOKR-000537,Исследование в области 'Биотехнологии' №537,Сколтех,2018,2021,Технологическая работа,Биотехнологии,58467610
NIOKR-000538,Исследование в области 'Ядерные технологии' №538,СПбГУ,2017,2020,НИР,Ядерные технологии,8966873
NIOKR-000539,Исследование в области 'Новые материалы' №539,Сколтех,2024,2026,Технологическая работа,Новые материалы,23599227
NIOKR-000540,Исследование в области 'Новые материалы' №540,ИТМО,2020,2023,Технологическая работа,Новые материалы,36882178
NIOKR-000541,Исследование в области 'Искусственный интеллект' №541,МФТИ,2023,2026,ОКР,Искусственный интеллект,8957216
NIOKR-000542,Исследование в области 'Ядерные технологии' №542,МФТИ,2019,2022,НИР,Ядерные технологии,20628462
NIOKR-000543,Исследование в области 'Микроэлектроника' №543,КФУ,2020,2021,НИР,Микроэлектроника,78500742
NIOKR-000544,Исследование в области 'Микроэлектроника' №544,Томский политехнический университет,2019,2022,ОКР,Микроэлектроника,11135622
NIOKR-000545,Исследование в области 'Новые материалы' №545,НИУ ВШЭ,2016,2018,ОКР,Новые материалы,66504221
NIOKR-000546,Исследование в области 'Информационные технологии' №546,НИЯУ МИФИ,2020,2023,Технологическая работа,Информационные технологии,62532017
NIOKR-000547,Исследование в области 'Микроэлектроника' №547,СПбГУ,2020,2021,ОКР,Микроэлектроника,29434222
NIOKR-000548,Исследование в области 'Биотехнологии' №548,ИТМО,2022,2024,ОКР,Биотехнологии,74458776
NIOKR-000549,Исследование в области 'Квантовые технологии' №549,НИУ ВШЭ,2024,2025,Технологическая работа,Квантовые технологии,7497381
NIOKR-000550,Исследование в области 'Квантовые технологии' №550,МГТУ им. Баумана,2015,2016,НИР,Квантовые технологии,22204188
NIOKR-000551,Исследование в области 'Информационные технологии' №551,Томский политехнический университет,2022,2024,НИР,Информационные технологии,93421237
NIOKR-000552,Исследование в области 'Новые материалы' №552,МФТИ,2017,2020,ОКР,Новые материалы,13527880
NIOKR-000553,Исследование в области 'Искусственный интеллект' №553,НИУ ВШЭ,2020,2022,Технологическая работа,Искусственный интеллект,88095388
NIOKR-000554,Исследование в области 'Микроэлектроника' №554,ИТМО,2017,2018,Технологическая работа,Микроэлектроника,94877431
NIOKR-000555,Исследование в области 'Искусственный интеллект' №555,НИЯУ МИФИ,2018,2020,НИР,Искусственный интеллект,29644905
NIOKR-000556,Исследование в области 'Ядерные технологии' №556,Сколтех,2022,2023,НИР,Ядерные технологии,70718627
NIOKR-000557,Исследование в области 'Информационные технологии' №557,НИУ ВШЭ,2022,2023,НИР,Информационные технологии,57682016
NIOKR-000558,Исследование в области 'Искусственный интеллект' №558,СПбГУ,2017,2019,ОКР,Искусственный интеллект,12989814
NIOKR-000559,Исследование в области 'Биотехнологии' №559,НИУ ВШЭ,2016,2017,ОКР,Биотехнологии,19405182
NIOKR-000560,Исследование в области 'Ядерные технологии' №560,НИЯУ МИФИ,2021,2022,Технологическая работа,Ядерные технологии,76603667
NIOKR-000561,Исследование в области 'Ядерные технологии' №561,КФУ,2015,2018,ОКР,Ядерные технологии,97963185
NIOKR-000562,Исследование в области 'Ядерные технологии' №562,Томский политехнический университет,2018,2021,Технологическая работа,Ядерные технологии,93149351
NIOKR-000563,Исследование в области 'Искусственный интеллект' №563,НИЯУ МИФИ,2022,2023,НИР,Искусственный интеллект,17529882
NIOKR-000564,Исследование в области 'Микроэлектроника' №564,НИУ ВШЭ,2024,2027,ОКР,Микроэлектроника,43211967
NIOKR-000565,Исследование в области 'Новые материалы' №565,НИЯУ МИФИ,2017,2018,НИР,Новые материалы,75275638
NIOKR-000566,Исследование в области 'Новые материалы' №566,МГТУ им. Баумана,2024,2027,Технологическая работа,Новые материалы,41486688
NIOKR-000567,Исследование в области 'Робототехника' №567,Томский политехнический университет,2018,2021,ОКР,Робототехника,87727439
NIOKR-000568,Исследование в области 'Квантовые технологии' №568,Томский политехнический университет,2015,2016,НИР,Квантовые технологии,33357445
NIOKR-000569,Исследование в области 'Искусственный интеллект' №569,УрФУ,2022,2025,НИР,Искусственный интеллект,49465780
NIOKR-000570,Исследование в области 'Микроэлектроника' №570,Сколтех,2020,2021,ОКР,Микроэлектроника,50044830
NIOKR-000571,Исследование в области 'Ядерные технологии' №571,КФУ,2023,2026,НИР,Ядерные технологии,3240013
NIOKR-000572,Исследование в области 'Информационные технологии' №572,ИТМО,2024,2025,НИР,Информационные технологии,6345470
NIOKR-000573,Исследование в области 'Новые материалы' №573,УрФУ,2015,2017,ОКР,Новые материалы,57851305
NIOKR-000574,Исследование в области 'Ядерные технологии' №574,ИТМО,2021,2022,НИР,Ядерные технологии,42594998
NIOKR-000575,Исследование в области 'Робототехника' №575,МФТИ,2016,2019,Технологическая работа,Робототехника,44855682
NIOKR-000576,Исследование в области 'Искусственный интеллект' №576,ИТМО,2021,2024,Технологическая работа,Искусственный интеллект,59718382
NIOKR-000577,Исследование в области 'Робототехника' №577,НИЯУ МИФИ,2018,2019,ОКР,Робототехника,16567455
NIOKR-000578,Исследование в области 'Информационные технологии' №578,ИТМО,2022,2025,Технологическая работа,Информационные технологии,89322292
NIOKR-000579,Исследование в области 'Информационные технологии' №579,МФТИ,2017,2018,Технологическая работа,Информационные технологии,2523452
NIOKR-000580,Исследование в области 'Биотехнологии' №580,УрФУ,2017,2019,Технологическая работа,Биотехнологии,97739510
NIOKR-000581,Исследование в области 'Биотехнологии' №581,МФТИ,2019,2020,Технологическая работа,Биотехнологии,37072958
NIOKR-000582,Исследование в области 'Биотехнологии' №582,Томский политехнический университет,2016,2017,ОКР,Биотехнологии,71310522
NIOKR-000583,Исследование в области 'Искусственный интеллект' №583,КФУ,2016,2018,ОКР,Искусственный интеллект,69555983
NIOKR-000584,Исследование в области 'Квантовые технологии' №584,Сколтех,2020,2021,НИР,Квантовые технологии,50350218
NIOKR-000585,Исследование в области 'Искусственный интеллект' №585,Сколтех,2017,2019,Технологическая работа,Искусственный интеллект,98009671
NIOKR-000586,Исследование в области 'Информационные технологии' №586,МГТУ им. Баумана,2016,2017,НИР,Информационные технологии,33823140
NIOKR-000587,Исследование в области 'Биотехнологии' №587,Томский политехнический университет,2015,2017,НИР,Биотехнологии,25019729
NIOKR-000588,Исследование в области 'Микроэлектроника' №588,СПбГУ,2015,2018,ОКР,Микроэлектроника,34321320
NIOKR-000589,Исследование в области 'Биотехнологии' №589,ИТМО,2021,2024,НИР,Биотехнологии,77710258
NIOKR-000590,Исследование в области 'Информационные технологии' №590,МФТИ,2020,2021,НИР,Информационные технологии,70226031
NIOKR-000591,Исследование в области 'Искусственный интеллект' №591,КФУ,2015,2017,ОКР,Искусственный интеллект,42701149
NIOKR-000592,Исследование в области 'Квантовые технологии' №592,МГТУ им. Баумана,2020,2021,ОКР,Квантовые технологии,27933626
NIOKR-000593,Исследование в области 'Новые материалы' №593,Сколтех,2019,2022,НИР,Новые материалы,63267186
NIOKR-000594,Исследование в области 'Квантовые технологии' №594,СПбГУ,2020,2023,Технологическая работа,Квантовые технологии,74357939
NIOKR-000595,Исследование в области 'Информационные технологии' №595,Томский политехнический университет,2018,2019,НИР,Информационные технологии,32272427
NIOKR-000596,Исследование в области 'Информационные технологии' №596,НИУ ВШЭ,2023,2025,НИР,Информационные технологии,89221829
NIOKR-000597,Исследование в области 'Новые материалы' №597,НИЯУ МИФИ,2021,2024,НИР,Новые материалы,72110496
NIOKR-000598,Исследование в области 'Квантовые технологии' №598,МГТУ им. Баумана,2018,2020,НИР,Квантовые технологии,96516378
NIOKR-000599,Исследование в области 'Информационные технологии' №599,СПбГУ,2019,2020,Технологическая работа,Информационные технологии,56439545
NIOKR-000600,Исследование в области 'Искусственный интеллект' №600,Сколтех,2020,2022,НИР,Искусственный интеллект,68837366
NIOKR-000601,Исследование в области 'Микроэлектроника' №601,НИЯУ МИФИ,2017,2020,Технологическая работа,Микроэлектроника,77211608
NIOKR-000602,Исследование в области 'Ядерные технологии' №602,СПбГУ,2015,2017,ОКР,Ядерные технологии,36029610
NIOKR-000603,Исследование в области 'Биотехнологии' №603,НИУ ВШЭ,2020,2022,ОКР,Биотехнологии,37501299
NIOKR-000604,Исследование в области 'Робототехника' №604,МФТИ,2018,2019,Технологическая работа,Робототехника,15626086
NIOKR-000605,Исследование в области 'Ядерные технологии' №605,КФУ,2017,2018,ОКР,Ядерные технологии,43148834
NIOKR-000606,Исследование в области 'Биотехнологии' №606,СПбГУ,2021,2022,ОКР,Биотехнологии,42380361
NIOKR-000607,Исследование в области 'Искусственный интеллект' №607,НИЯУ МИФИ,2022,2024,НИР,Искусственный интеллект,93080722
NIOKR-000608,Исследование в области 'Информационные технологии' №608,СПбГУ,2019,2022,ОКР,Информационные технологии,20907683
NIOKR-000609,Исследование в области 'Робототехника' №609,НИУ ВШЭ,2016,2019,ОКР,Робототехника,69915391
NIOKR-000610,Исследование в области 'Новые материалы' №610,ИТМО,2015,2018,НИР,Новые материалы,5171767
NIOKR-000611,Исследование в области 'Робототехника' №611,НИЯУ МИФИ,2021,2023,ОКР,Робототехника,14677772
NIOKR-000612,Исследование в области 'Информационные технологии' №612,МГТУ им. Баумана,2017,2018,НИР,Информационные технологии,18544302
NIOKR-000613,Исследование в области 'Биотехнологии' №613,НИЯУ МИФИ,2018,2020,Технологическая работа,Биотехнологии,79667527
NIOKR-000614,Исследование в области 'Информационные технологии' №614,НИЯУ МИФИ,2019,2020,НИР,Информационные технологии,87702893
NIOKR-000615,Исследование в области 'Искусственный интеллект' №615,НИУ ВШЭ,2022,2023,НИР,Искусственный интеллект,6730602
NIOKR-000616,Исследование в области 'Ядерные технологии' №616,Сколтех,2022,2023,ОКР,Ядерные технологии,98231462
NIOKR-000617,Исследование в области 'Информационные технологии' №617,Томский политехнический университет,2021,2023,Технологическая работа,Информационные технологии,58265875
NIOKR-000618,Исследование в области 'Робототехника' №618,МФТИ,2017,2019,ОКР,Робототехника,38561442
NIOKR-000619,Исследование в области 'Информационные технологии' №619,Сколтех,2022,2023,Технологическая работа,Информационные технологии,83809273
NIOKR-000620,Исследование в области 'Новые материалы' №620,КФУ,2018,2021,ОКР,Новые материалы,74912181
NIOKR-000621,Исследование в области 'Искусственный интеллект' №621,ИТМО,2022,2023,ОКР,Искусственный интеллект,19419506
NIOKR-000622,Исследование в области 'Робототехника' №622,УрФУ,2021,2022,НИР,Робототехника,52338023
NIOKR-000623,Исследование в области 'Квантовые технологии' №623,НИУ ВШЭ,2020,2022,Технологическая работа,Квантовые технологии,68430081
NIOKR-000624,Исследование в области 'Новые материалы' №624,МФТИ,2020,2022,НИР,Новые материалы,43799022
NIOKR-000625,Исследование в области 'Информационные технологии' №625,ИТМО,2024,2025,НИР,Информационные технологии,64308406
NIOKR-000626,Исследование в области 'Робототехника' №626,МФТИ,2023,2025,НИР,Робототехника,34266810
NIOKR-000627,Исследование в области 'Информационные технологии' №627,СПбГУ,2018,2020,Технологическая работа,Информационные технологии,53133188
NIOKR-000628,Исследование в области 'Ядерные технологии' №628,СПбГУ,2020,2021,Технологическая работа,Ядерные технологии,43681823
NIOKR-000629,Исследование в области 'Информационные технологии' №629,НИУ ВШЭ,2020,2023,Технологическая работа,Информационные технологии,76645982
NIOKR-000630,Исследование в области 'Робототехника' №630,КФУ,2017,2020,Технологическая работа,Робототехника,42480401
NIOKR-000631,Исследование в области 'Информационные технологии' №631,НИЯУ МИФИ,2017,2019,НИР,Информационные технологии,32222178
NIOKR-000632,Исследование в области 'Информационные технологии' №632,УрФУ,2024,2025,ОКР,Информационные технологии,1091737
NIOKR-000633,Исследование в области 'Робототехника' №633,МФТИ,2020,2023,ОКР,Робототехника,97225740
NIOKR-000634,Исследование в области 'Информационные технологии' №634,МГТУ им. Баумана,2017,2019,НИР,Информационные технологии,79733350
NIOKR-000635,Исследование в области 'Биотехнологии' №635,НИЯУ МИФИ,2017,2018,ОКР,Биотехнологии,95561490
NIOKR-000636,Исследование в области 'Искусственный интеллект' №636,НИУ ВШЭ,2021,2024,ОКР,Искусственный интеллект,44299069
NIOKR-000637,Исследование в области 'Микроэлектроника' №637,КФУ,2017,2018,Технологическая работа,Микроэлектроника,43585056
NIOKR-000638,Исследование в области 'Биотехнологии' №638,СПбГУ,2017,2020,Технологическая работа,Биотехнологии,80047551
NIOKR-000639,Исследование в области 'Новые материалы' №639,ИТМО,2017,2019,НИР,Новые материалы,24851602
NIOKR-000640,Исследование в области 'Микроэлектроника' №640,Сколтех,2015,2018,НИР,Микроэлектроника,25438599
NIOKR-000641,Исследование в области 'Робототехника' №641,Сколтех,2024,2026,НИР,Робототехника,67596831
NIOKR-000642,Исследование в области 'Искусственный интеллект' №642,СПбГУ,2017,2019,ОКР,Искусственный интеллект,43885071
NIOKR-000643,Исследование в области 'Искусственный интеллект' №643,НИУ ВШЭ,2017,2020,ОКР,Искусственный интеллект,2529494
NIOKR-000644,Исследование в области 'Робототехника' №644,НИЯУ МИФИ,2019,2020,ОКР,Робототехника,35448045
NIOKR-000645,Исследование в области 'Информационные технологии' №645,МГТУ им. Баумана,2016,2019,ОКР,Информационные технологии,59816911
NIOKR-000646,Исследование в области 'Микроэлектроника' №646,КФУ,2021,2022,ОКР,Микроэлектроника,48141449
NIOKR-000647,Исследование в области 'Искусственный интеллект' №647,КФУ,2023,2025,Технологическая работа,Искусственный интеллект,88371655
NIOKR-000648,Исследование в области 'Квантовые технологии' №648,НИЯУ МИФИ,2018,2019,НИР,Квантовые технологии,40581964
NIOKR-000649,Исследование в области 'Новые материалы' №649,НИЯУ МИФИ,2015,2017,НИР,Новые материалы,46876720
NIOKR-000650,Исследование в области 'Ядерные технологии' №650,НИЯУ МИФИ,2017,2019,Технологическая работа,Ядерные технологии,13496299
NIOKR-000651,Исследование в области 'Квантовые технологии' №651,МГТУ им. Баумана,2020,2023,ОКР,Квантовые технологии,88729428
NIOKR-000652,Исследование в области 'Микроэлектроника' №652,МФТИ,2017,2020,НИР,Микроэлектроника,14590593
NIOKR-000653,Исследование в области 'Робототехника' №653,Томский политехнический университет,2020,2021,Технологическая работа,Робототехника,75371711
NIOKR-000654,Исследование в области 'Новые материалы' №654,ИТМО,2023,2025,НИР,Новые материалы,13873617
NIOKR-000655,Исследование в области 'Квантовые технологии' №655,МФТИ,2015,2017,НИР,Квантовые технологии,49429638
NIOKR-000656,Исследование в области 'Искусственный интеллект' №656,ИТМО,2015,2017,Технологическая работа,Искусственный интеллект,84898287
NIOKR-000657,Исследование в области 'Робототехника' №657,НИЯУ МИФИ,2024,2026,НИР,Робототехника,28776759
NIOKR-000658,Исследование в области 'Новые материалы' №658,НИЯУ МИФИ,2017,2020,ОКР,Новые материалы,16503345
NIOKR-000659,Исследование в области 'Квантовые технологии' №659,КФУ,2019,2021,Технологическая работа,Квантовые технологии,36568288
NIOKR-000660,Исследование в области 'Микроэлектроника' №660,МФТИ,2016,2019,ОКР,Микроэлектроника,52196706
NIOKR-000661,Исследование в области 'Квантовые технологии' №661,МГТУ им. Баумана,2020,2021,ОКР,Квантовые технологии,60020960
NIOKR-000662,Исследование в области 'Робототехника' №662,ИТМО,2022,2024,Технологическая работа,Робототехника,9273096
NIOKR-000663,Исследование в области 'Искусственный интеллект' №663,НИЯУ МИФИ,2017,2020,Технологическая работа,Искусственный интеллект,47142898
NIOKR-000664,Исследование в области 'Робототехника' №664,УрФУ,2023,2025,НИР,Робототехника,52956500
NIOKR-000665,Исследование в области 'Квантовые технологии' №665,Сколтех,2023,2025,НИР,Квантовые технологии,64922841
NIOKR-000666,Исследование в области 'Микроэлектроника' №666,МГТУ им. Баумана,2019,2020,Технологическая работа,Микроэлектроника,77667841
NIOKR-000667,Исследование в области 'Ядерные технологии' №667,НИЯУ МИФИ,2023,2026,ОКР,Ядерные технологии,24203422
NIOKR-000668,Исследование в области 'Робототехника' №668,МФТИ,2017,2018,НИР,Робототехника,57824417
NIOKR-000669,Исследование в области 'Микроэлектроника' №669,СПбГУ,2016,2019,Технологическая работа,Микроэлектроника,20847882
NIOKR-000670,Исследование в области 'Биотехнологии' №670,НИЯУ МИФИ,2024,2026,НИР,Биотехнологии,53089786
NIOKR-000671,Исследование в области 'Биотехнологии' №671,ИТМО,2023,2025,Технологическая работа,Биотехнологии,62492815
NIOKR-000672,Исследование в области 'Микроэлектроника' №672,НИЯУ МИФИ,2015,2018,ОКР,Микроэлектроника,21084652
NIOKR-000673,Исследование в области 'Искусственный интеллект' №673,НИЯУ МИФИ,2017,2020,Технологическая работа,Искусственный интеллект,14554707
NIOKR-000674,Исследование в области 'Биотехнологии' №674,Томский политехнический университет,2019,2022,ОКР,Биотехнологии,52411224
NIOKR-000675,Исследование в области 'Квантовые технологии' №675,МГТУ им. Баумана,2022,2025,НИР,Квантовые технологии,37965460
NIOKR-000676,Исследование в области 'Микроэлектроника' №676,МГТУ им. Баумана,2021,2022,ОКР,Микроэлектроника,45492381
NIOKR-000677,Исследование в области 'Квантовые технологии' №677,ИТМО,2018,2019,ОКР,Квантовые технологии,3715612
NIOKR-000678,Исследование в области 'Новые материалы' №678,ИТМО,2020,2022,ОКР,Новые материалы,94440079
NIOKR-000679,Исследование в области 'Ядерные технологии' №679,ИТМО,2016,2017,Технологическая работа,Ядерные технологии,60473299
NIOKR-000680,Исследование в области 'Микроэлектроника' №680,Сколтех,2020,2022,Технологическая работа,Микроэлектроника,12983878
NIOKR-000681,Исследование в области 'Робототехника' №681,Томский политехнический университет,2018,2020,Технологическая работа,Робототехника,66023164
NIOKR-000682,Исследование в области 'Информационные технологии' №682,УрФУ,2023,2025,НИР,Информационные технологии,9806960
NIOKR-000683,Исследование в области 'Микроэлектроника' №683,МФТИ,2019,2022,Технологическая работа,Микроэлектроника,77325904
NIOKR-000684,Исследование в области 'Робототехника' №684,СПбГУ,2015,2016,НИР,Робототехника,34486016
NIOKR-000685,Исследование в области 'Информационные технологии' №685,НИУ ВШЭ,2015,2017,Технологическая работа,Информационные технологии,27724061
NIOKR-000686,Исследование в области 'Квантовые технологии' №686,УрФУ,2019,2021,ОКР,Квантовые технологии,86283260
NIOKR-000687,Исследование в области 'Информационные технологии' №687,СПбГУ,2016,2019,ОКР,Информационные технологии,66603845
NIOKR-000688,Исследование в области 'Ядерные технологии' №688,КФУ,2024,2026,Технологическая работа,Ядерные технологии,74998759
NIOKR-000689,Исследование в области 'Ядерные технологии' №689,ИТМО,2020,2022,Технологическая работа,Ядерные технологии,93455954
NIOKR-000690,Исследование в области 'Информационные технологии' №690,Томский политехнический университет,2016,2018,НИР,Информационные технологии,22865061
NIOKR-000691,Исследование в области 'Робототехника' №691,СПбГУ,2024,2025,Технологическая работа,Робототехника,28746963
NIOKR-000692,Исследование в области 'Микроэлектроника' №692,УрФУ,2019,2022,НИР,Микроэлектроника,92563298
NIOKR-000693,Исследование в области 'Ядерные технологии' №693,МФТИ,2015,2017,Технологическая работа,Ядерные технологии,2135982
NIOKR-000694,Исследование в области 'Новые материалы' №694,ИТМО,2018,2020,ОКР,Новые материалы,51529679
NIOKR-000695,Исследование в области 'Новые материалы' №695,СПбГУ,2020,2022,ОКР,Новые материалы,41553227
NIOKR-000696,Исследование в области 'Микроэлектроника' №696,Сколтех,2023,2026,НИР,Микроэлектроника,1986174
NIOKR-000697,Исследование в области 'Биотехнологии' №697,УрФУ,2023,2026,Технологическая работа,Биотехнологии,80694801
NIOKR-000698,Исследование в области 'Новые материалы' №698,НИЯУ МИФИ,2024,2026,ОКР,Новые материалы,9568064
NIOKR-000699,Исследование в области 'Биотехнологии' №699,ИТМО,2020,2022,ОКР,Биотехнологии,89062882
NIOKR-000700,Исследование в области 'Ядерные технологии' №700,УрФУ,2019,2020,НИР,Ядерные технологии,8620167
NIOKR-000701,Исследование в области 'Биотехнологии' №701,МФТИ,2024,2026,Технологическая работа,Биотехнологии,4416548
NIOKR-000702,Исследование в области 'Новые материалы' №702,Томский политехнический университет,2022,2024,ОКР,Новые материалы,53113377
NIOKR-000703,Исследование в области 'Робототехника' №703,НИУ ВШЭ,2015,2018,Технологическая работа,Робототехника,96746805
NIOKR-000704,Исследование в области 'Квантовые технологии' №704,НИУ ВШЭ,2018,2021,Технологическая работа,Квантовые технологии,41291467
NIOKR-000705,Исследование в области 'Ядерные технологии' №705,ИТМО,2017,2020,НИР,Ядерные технологии,64187139
NIOKR-000706,Исследование в области 'Новые материалы' №706,УрФУ,2017,2020,НИР,Новые материалы,92229449
NIOKR-000707,Исследование в области 'Искусственный интеллект' №707,СПбГУ,2020,2023,ОКР,Искусственный интеллект,30974566
NIOKR-000708,Исследование в области 'Биотехнологии' №708,НИУ ВШЭ,2019,2021,ОКР,Биотехнологии,79593968
NIOKR-000709,Исследование в области 'Искусственный интеллект' №709,КФУ,2019,2021,НИР,Искусственный интеллект,86147289
NIOKR-000710,Исследование в области 'Искусственный интеллект' №710,КФУ,2024,2027,НИР,Искусственный интеллект,68172936
NIOKR-000711,Исследование в области 'Микроэлектроника' №711,УрФУ,2016,2019,ОКР,Микроэлектроника,56446317
NIOKR-000712,Исследование в области 'Ядерные технологии' №712,СПбГУ,2015,2016,ОКР,Ядерные технологии,55920799
NIOKR-000713,Исследование в области 'Ядерные технологии' №713,НИУ ВШЭ,2024,2026,Технологическая работа,Ядерные технологии,25207075
NIOKR-000714,Исследование в области 'Биотехнологии' №714,МФТИ,2016,2018,ОКР,Биотехнологии,86161010
NIOKR-000715,Исследование в области 'Квантовые технологии' №715,ИТМО,2015,2016,НИР,Квантовые технологии,23629881
NIOKR-000716,Исследование в области 'Квантовые технологии' №716,НИЯУ МИФИ,2024,2025,НИР,Квантовые технологии,83474074
NIOKR-000717,Исследование в области 'Микроэлектроника' №717,Томский политехнический университет,2021,2024,ОКР,Микроэлектроника,65075580
NIOKR-000718,Исследование в области 'Информационные технологии' №718,УрФУ,2021,2022,НИР,Информационные технологии,99067400
NIOKR-000719,Исследование в области 'Биотехнологии' №719,УрФУ,2020,2021,НИР,Биотехнологии,3404661
NIOKR-000720,Исследование в области 'Робототехника' №720,СПбГУ,2015,2018,Технологическая работа,Робототехника,47217844
NIOKR-000721,Исследование в области 'Искусственный интеллект' №721,Томский политехнический университет,2019,2020,Технологическая работа,Искусственный интеллект,80010042
NIOKR-000722,Исследование в области 'Искусственный интеллект' №722,МГТУ им. Баумана,2019,2020,ОКР,Искусственный интеллект,40034245
NIOKR-000723,Исследование в области 'Биотехнологии' №723,Томский политехнический университет,2022,2025,Технологическая работа,Биотехнологии,18956913
NIOKR-000724,Исследование в области 'Биотехнологии' №724,СПбГУ,2020,2022,НИР,Биотехнологии,55142310
NIOKR-000725,Исследование в области 'Робототехника' №725,МФТИ,2015,2016,НИР,Робототехника,99526096
NIOKR-000726,Исследование в области 'Ядерные технологии' №726,НИЯУ МИФИ,2015,2018,ОКР,Ядерные технологии,96443580
NIOKR-000727,Исследование в области 'Новые материалы' №727,УрФУ,2015,2017,Технологическая работа,Новые материалы,7521231
NIOKR-000728,Исследование в области 'Искусственный интеллект' №728,МГТУ им. Баумана,2024,2025,НИР,Искусственный интеллект,93576644
NIOKR-000729,Исследование в области 'Квантовые технологии' №729,Томский политехнический университет,2016,2018,НИР,Квантовые технологии,74454998
NIOKR-000730,Исследование в области 'Ядерные технологии' №730,СПбГУ,2019,2021,Технологическая работа,Ядерные технологии,93038468
NIOKR-000731,Исследование в области 'Микроэлектроника' №731,НИЯУ МИФИ,2015,2017,Технологическая работа,Микроэлектроника,70834723
NIOKR-000732,Исследование в области 'Ядерные технологии' №732,Томский политехнический университет,2019,2022,НИР,Ядерные технологии,69663747
NIOKR-000733,Исследование в области 'Новые материалы' №733,НИЯУ МИФИ,2024,2025,НИР,Новые материалы,67805406
NIOKR-000734,Исследование в области 'Робототехника' №734,ИТМО,2018,2021,Технологическая работа,Робототехника,28068117
NIOKR-000735,Исследование в области 'Микроэлектроника' №735,ИТМО,2020,2023,НИР,Микроэлектроника,6288944
NIOKR-000736,Исследование в области 'Робототехника' №736,КФУ,2023,2025,ОКР,Робототехника,32474764
